date,account,category,amount,currency,converted amount,currency,description
01/03/2021,Cash,Initial balance 'Cash',"10,000",RUB,"10,000",RUB,
02/03/2021,Cash,Food,-250,RUB,-250,RUB,
02/03/2021,Cash,Food,-250,RUB,-250,RUB,
02/03/2021,Cash,Eating out,"-1,250.75",RUB,"-1,250.75",RUB,
03/03/2021,Cash,Salary,"50,000",RUB,"50,000",RUB,
04/03/2021,Cash,"Дом, ремонт",-999,RUB,-999,RUB,
05/03/2021,Cash,"To 'Card $'","-8,695",RUB,"-8,695",RUB,
05/03/2021,Card $,"From 'Cash'",100.001,USD,"8,695",RUB,
06/03/2021,Card $,Travel,-20.5,USD,"-1,780",RUB,
07/03/2021,Cash,"To 'Savings'","-5,000",RUB,"-5,000",RUB,
07/03/2021,Savings,"From 'Cash'","5,000",RUB,"5,000",RUB,
08/03/2021,Cash,"To 'Savings'","-1,000",RUB,"-1,000",RUB,
08/03/2021,Cash,"To 'Savings'","-1,000",RUB,"-1,000",RUB,
08/03/2021,Savings,"From 'Cash'","1,000",RUB,"1,000",RUB,
08/03/2021,Savings,"From 'Cash'","1,000",RUB,"1,000",RUB,
09/03/2021,Cash,"To 'Card $'","-66,667",RUB,"-66,667",RUB,
09/03/2021,Card $,"From 'Cash'","66,667",USD,"66,667",RUB,
10/03/2021,Cash,"To 'Card $'","-3,000",RUB,"-3,000",RUB,
11/03/2021,Wallet,Initial balance 'Wallet',80,RUB,80,RUB,
